InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV102366,SKU-1004,Laptop Stand,Accessories,11,2024-05-06 00:00,1299,C0104,India
INV100102,SKU-1007,Water Bottle 1L,Home,2,2024-04-13 00:00,399,C0096,United Kingdom
INV103932,SKU-1003,USB-C Cable,Electronics,10,2024-01-17 00:00,299,C0081,United States
INV100108,SKU-1005,Notebook A5,Stationery,11,2024-10-20 00:00,149,,USA
INV100415,SKU-1012,Phone Case,Accessories,6,2024-03-26 00:00,499,C0051,France
INV102458,SKU-1002,Mechanical Keyboard,Electronics,5,2024-10-14 00:00,2499,C0037,United States
INV103637,SKU-1009,Desk Lamp,Home,9,2024-02-12 00:00,1499,C0093,United States
INV101440,SKU-1012,Phone Case,Accessories,3,2024-09-28 00:00,499,C0089,united kingdom
INV100964,SKU-1009,Desk Lamp,Home,9,2024-07-26 00:00,1499,C0104,India
INV102869,SKU-1014,Power Bank 10000mAh,Electronics,2,2024-07-06 00:00,1799,C0085,France
INV100973,SKU-1004,Laptop Stand,Accessories,1,2024-03-25 00:00,1299,C0076,Germany
INV100738,SKU-1006,Gel Pen Pack,Stationery,1,2024-02-27 00:00,99,C0101,USA
INV101848,SKU-1002,Mechanical Keyboard,Electronics,7,2024-10-21 00:00,2499,C0018,India
INV100975,SKU-1006,Gel Pen Pack,Stationery,-3,2024-07-15 00:00,99,C0109,Germany
INV102313,SKU-1011,Wireless Earbuds,Electronics,5,2024-06-28 00:00,3499,C0119,United Kingdom
INV103473,SKU-1015,Yoga Mat,Home,3,2024-04-16 00:00,899,C0070,Germany
INV101324,SKU-1015,Yoga Mat,Home,3,2024-07-13 00:00,899,C0118,India
INV102374,SKU-1003,USB-C Cable,Electronics,10,2024-02-19 00:00,299,C0034,Germany
INV101306,SKU-1007,Water Bottle 1L,Home,9,2024-02-21 00:00,399,C0037,united kingdom
INV100592,SKU-1002,Mechanical Keyboard,Electronics,2,2024-12-08 00:00,2499,C0109,Germany
INV100527,SKU-1002,Mechanical Keyboard,Electronics,4,2024-01-04 00:00,2499,C0035,United States
INV102018,SKU-1009,Desk Lamp,Home,11,2024-08-07 00:00,1499,C0062,France
INV102081,SKU-1006,Gel Pen Pack,Stationery,8,2024-04-05 00:00,99,C0027,Germany
INV100928,SKU-1002,Mechanical Keyboard,Electronics,2,2024-12-18 00:00,2499,C0055,Germany
INV100783,SKU-1004,Laptop Stand,Accessories,4,2024-07-20 00:00,1299,C0020,USA
INV100586,SKU-1009,Desk Lamp,Home,9,2024-05-03 00:00,1499,C0065,united kingdom
INV100876,SKU-1002,Mechanical Keyboard,Electronics,11,2024-03-10 00:00,2499,C0067,United States
INV101620,SKU-1013,Sticky Notes,Stationery,1,2024-08-10 00:00,79,C0004,Germany
INV103497,SKU-1003,USB-C Cable,Electronics,1,2024-05-19 00:00,299,C0031,Germany
INV103891,SKU-1010,Backpack,Accessories,8,2024-06-15 00:00,1999,C0044,United Kingdom
INV103393,SKU-1009,Desk Lamp,Home,6,2024-05-29 00:00,1499,C0094,United Kingdom
INV102849,SKU-1002,Mechanical Keyboard,Electronics,8,2024-12-26 00:00,2499,C0053,United Kingdom
INV100809,SKU-1015,Yoga Mat,Home,2,2024-05-23 00:00,899,C0108,France
INV100308,SKU-1008,COFFEE MUG,Home,8,2024-11-11 00:00,249,C0082,Germany
INV102982,SKU-1013,Sticky Notes,Stationery,1,2024-05-04 00:00,79,C0084,United States
INV103499,SKU-1006,Gel Pen Pack,Stationery,8,2024-04-10 00:00,99,C0048,United States
INV100958,SKU-1013,Sticky Notes,Stationery,11,2024-01-05 00:00,79,C0030,Germany
INV102839,SKU-1006,Gel Pen Pack,Stationery,4,2024-08-26 00:00,99,C0024,United States
INV101053,SKU-1009,Desk Lamp,Home,2,2024-12-06 00:00,1499,C0038,United States
INV102086,SKU-1004,Laptop Stand,Accessories,7,2024-01-06 00:00,1299,,Germany
INV100520,SKU-1008,Coffee Mug,Home,1,2024-03-17 00:00,249,C0016,France
INV103211,SKU-1002,MECHANICAL KEYBOARD,Electronics,7,2024-11-22 00:00,2499,C0055,Germany
INV101904,SKU-1008,Coffee Mug,Home,1,2024-09-21 00:00,249,C0027,Germany
INV101613,SKU-1012,Phone Case,Accessories,2,2024-02-14 00:00,499,C0116,Germany
INV101700,SKU-1006,Gel Pen Pack,Stationery,7,2024-10-24 00:00,99,C0072,India
INV101989,SKU-1008,Coffee Mug,Home,4,2024-11-21 00:00,249,,India
INV101312,SKU-1006,Gel Pen Pack,Stationery,6,2024-03-10 00:00,99,C0035,USA
INV103587,SKU-1012,Phone Case,Accessories,8,2024-03-23 00:00,499,C0004,Germany
INV100617,SKU-1002,Mechanical Keyboard,Electronics,7,2024-12-07 00:00,2499,C0068,United Kingdom
INV100720,SKU-1002,Mechanical Keyboard,Electronics,7,2024-02-17 00:00,2499,C0113,Germany
INV101268,SKU-1006,Gel Pen Pack,Stationery,11,2024-09-13 00:00,99,C0118,India
INV102484,SKU-1011,Wireless Earbuds,Electronics,7,2024-07-12 00:00,3499,C0120,India
INV100725,SKU-1011,Wireless Earbuds,Electronics,6,2024-09-03 00:00,3499,C0056,USA
INV100831,SKU-1007,Water Bottle 1L,Home,7,2024-01-26 00:00,399,C0115,Germany
INV102347,SKU-1003,USB-C Cable,Electronics,5,2024-12-22 00:00,299,C0093,United States
INV100007,SKU-1009,Desk Lamp,Home,6,2024-11-06 00:00,1499,C0037,United States
INV103808,SKU-1001,Wireless Mouse,Electronics,1,2024-05-23 00:00,799,C0119,United Kingdom
INV101532,SKU-1004,Laptop Stand,Accessories,9,2024-12-14 00:00,1299,,united kingdom
INV100481,SKU-1009,Desk Lamp,Home,6,2024-10-25 00:00,1499,C0093,United States
INV101117,SKU-1003,USB-C Cable,Electronics,2,2024-01-07 00:00,299,C0028,United States
INV100712,SKU-1011,Wireless Earbuds,Electronics,10,2024-09-22 00:00,3499,,United States
INV101280,SKU-1001,Wireless Mouse,Electronics,1,2024-04-01 00:00,799,C0047,Germany
INV100799,SKU-1004,Laptop Stand,Accessories,8,2024-04-02 00:00,1299,C0057,Germany
INV100141,SKU-1001,Wireless Mouse,Electronics,2,2024-10-17 00:00,799,C0081,United States
INV100153,SKU-1015,Yoga Mat,Home,10,2024-12-13 00:00,899,,United Kingdom
INV100843,SKU-1012,Phone Case,Accessories,5,2024-12-01 00:00,499,C0020,Germany
INV101277,SKU-1001,Wireless Mouse,Electronics,3,2024-04-27 00:00,799,C0023,India
INV103515,SKU-1003,USB-C Cable,Electronics,8,2024-02-19 00:00,299,C0030,united kingdom
INV103146,SKU-1002,Mechanical Keyboard,Electronics,8,2024-06-07 00:00,2499,,Germany
INV102910,SKU-1009,Desk Lamp,Home,3,2024-05-24 00:00,1499,C0076,Germany
INV103316,SKU-1014,Power Bank 10000mAh,Electronics,3,2024-08-19 00:00,1799,C0114,united kingdom
INV103125,SKU-1003,USB-C Cable,Electronics,4,2024-08-06 00:00,299,C0113,Germany
INV103543,SKU-1004,Laptop Stand,Accessories,2,2024-07-30 00:00,1299,C0049,France
INV100501,SKU-1013,Sticky Notes,Stationery,10,2024-02-01 00:00,79,C0039,United Kingdom
INV100943,SKU-1014,Power Bank 10000mAh,Electronics,11,2024-09-03 00:00,1799,C0046,United States
INV102926,SKU-1003,USB-C Cable,Electronics,7,2024-09-11 00:00,299,C0111,united kingdom
INV100780,SKU-1007,,Home,4,2024-05-24 00:00,399,C0076,united kingdom
INV100511,SKU-1006,Gel Pen Pack,Stationery,10,2024-09-27 00:00,99,C0005,Germany
INV101928,SKU-1010,Backpack,Accessories,5,2024-11-05 00:00,1999,C0099,France
INV103731,SKU-1010,Backpack,Accessories,4,2024-12-24 00:00,1999,C0106,France
INV100723,SKU-1007,Water Bottle 1L,Home,8,2024-03-06 00:00,399,C0114,Germany
INV103517,SKU-1001,Wireless Mouse,Electronics,9,2024-03-26 00:00,799,C0063,United Kingdom
INV100718,SKU-1009,Desk Lamp,Home,6,2024-06-01 00:00,1499,C0099,France
INV102188,SKU-1014,Power Bank 10000mAh,Electronics,8,2024-10-27 00:00,1799,C0064,United States
INV103460,SKU-1002,Mechanical Keyboard,Electronics,7,2024-10-03 00:00,2499,C0062,France
INV100049,SKU-1010,Backpack,Accessories,2,2024-02-22 00:00,1999,C0064,United States
INV100813,SKU-1010,Backpack,Accessories,8,2024-07-18 00:00,1999,C0005,Germany
INV102834,SKU-1003,USB-C Cable,Electronics,2,2024-04-23 00:00,299,C0077,United Kingdom
INV100624,SKU-1006,Gel Pen Pack,Stationery,5,2024-03-27 00:00,99,,United States
INV102852,SKU-1009,Desk Lamp,Home,-7,2024-11-21 00:00,1499,C0105,France
INV101032,SKU-1004,Laptop Stand,Accessories,1,2024-05-11 00:00,1299,C0119,United Kingdom
INV102010,SKU-1015,Yoga Mat,Home,4,2024-11-27 00:00,899,C0090,United States
INV102902,SKU-1012,Phone Case,Accessories,3,2024-09-12 00:00,499,C0005,Germany
INV103966,SKU-1008,Coffee Mug,Home,9,2024-09-12 00:00,249,C0103,United States
INV100592,SKU-1004,Laptop Stand,Accessories,10,2024-05-24 00:00,1299,C0112,France
INV100607,SKU-1005,Notebook A5,Stationery,7,2024-02-25 00:00,149,C0120,India
INV102309,SKU-1011,,Electronics,6,2024-12-25 00:00,3499,C0021,Germany
INV103902,SKU-1014,Power Bank 10000mAh,Electronics,11,2024-11-15 00:00,1799,C0115,Germany
INV103441,SKU-1004,Laptop Stand,Accessories,1,2024-10-12 00:00,1299,C0078,united kingdom
INV103518,SKU-1013,Sticky Notes,Stationery,11,2024-02-11 00:00,79,C0120,India
INV101622,SKU-1010,Backpack,Accessories,9,2024-06-06 00:00,1999,C0090,United States
INV102088,SKU-1006,Gel Pen Pack,Stationery,8,2024-03-15 00:00,99,,France
INV103373,SKU-1001,Wireless Mouse,Electronics,10,2024-03-18 00:00,799,C0005,Germany
INV101509,SKU-1003,USB-C Cable,Electronics,10,2024-11-12 00:00,299,C0090,USA
INV103973,SKU-1002,Mechanical Keyboard,Electronics,3,2024-08-20 00:00,2499,C0034,Germany
INV101693,SKU-1006,Gel Pen Pack,Stationery,6,2024-08-30 00:00,99,C0011,Germany
INV103358,SKU-1006,Gel Pen Pack,Stationery,8,2024-07-18 00:00,99,,France
INV103075,SKU-1009,Desk Lamp,Home,5,2024-04-17 00:00,1499,C0021,Germany
INV101483,SKU-1003,USB-C Cable,Electronics,3,2024-11-21 00:00,299,,India
INV103177,SKU-1008,Coffee Mug,Home,7,2024-11-07 00:00,249,C0011,Germany
INV103547,SKU-1002,MECHANICAL KEYBOARD,Electronics,5,2024-07-16 00:00,2499,C0113,Germany
INV102858,SKU-1001,Wireless Mouse,Electronics,11,2024-12-12 00:00,799,C0082,Germany
INV100970,SKU-1009,Desk Lamp,Home,5,2024-08-10 00:00,1499,C0054,Germany
INV102882,SKU-1006,Gel Pen Pack,Stationery,-11,2024-12-13 00:00,99,C0076,Germany
INV103665,SKU-1008,Coffee Mug,Home,8,2024-11-20 00:00,249,C0038,United States
INV101607,SKU-1011,Wireless Earbuds,Electronics,11,2024-04-28 00:00,3499,C0104,India
INV102643,SKU-1002,Mechanical Keyboard,Electronics,4,2024-03-29 00:00,2499,,United States
INV103719,SKU-1009,Desk Lamp,Home,3,2024-06-19 00:00,1499,C0038,United States
INV102407,SKU-1008,Coffee Mug,Home,11,2024-09-26 00:00,249,C0078,United Kingdom
INV100753,SKU-1003,USB-C Cable,Electronics,6,2024-05-05 00:00,299,C0069,India
INV101428,SKU-1007,Water Bottle 1L,Home,4,2024-11-30 00:00,399,C0038,United States
INV102597,SKU-1012,Phone Case,Accessories,10,2024-05-11 00:00,499,C0023,India
INV103762,SKU-1008,Coffee Mug,Home,8,2024-06-05 00:00,249,,Germany
INV103521,SKU-1004,Laptop Stand,Accessories,7,2024-02-20 00:00,1299,C0061,United States
INV101591,SKU-1008,Coffee Mug,Home,7,2024-05-13 00:00,249,C0067,United States
INV103691,SKU-1001,Wireless Mouse,Electronics,5,2024-07-26 00:00,799,C0049,France
INV100509,SKU-1012,Phone Case,Accessories,4,2024-08-31 00:00,499,C0082,Germany
INV103191,SKU-1007,Water Bottle 1L,Home,1,2024-10-01 00:00,399,C0055,USA
INV101813,SKU-1001,WIRELESS MOUSE,Electronics,11,2024-08-20 00:00,799,C0037,United States
INV101394,SKU-1008,Coffee Mug,Home,7,2024-10-15 00:00,249,C0094,United Kingdom
INV101298,SKU-1013,Sticky Notes,Stationery,3,2024-12-07 00:00,79,C0113,Germany
INV103867,SKU-1014,Power Bank 10000mAh,Electronics,11,2024-06-02 00:00,1799,C0077,United Kingdom
INV103530,SKU-1003,USB-C Cable,Electronics,4,2024-01-28 00:00,299,C0118,India
INV101308,SKU-1014,Power Bank 10000mAh,Electronics,7,2024-12-16 00:00,1799,C0050,France
INV103443,SKU-1004,Laptop Stand,Accessories,2,2024-02-09 00:00,1299,C0042,France
INV102581,SKU-1014,Power Bank 10000mAh,Electronics,10,2024-10-06 00:00,1799,C0054,united kingdom
INV102947,SKU-1002,Mechanical Keyboard,Electronics,3,2024-07-10 00:00,2499,C0076,Germany
INV100385,SKU-1005,Notebook A5,Stationery,5,2024-11-26 00:00,149,C0010,India
INV100096,SKU-1014,Power Bank 10000mAh,Electronics,5,2024-01-19 00:00,1799,C0093,United States
INV100034,SKU-1007,WATER BOTTLE 1L,Home,5,2024-09-08 00:00,399,C0090,United States
INV101631,SKU-1011,Wireless Earbuds,Electronics,4,2024-02-21 00:00,3499,C0056,India
INV102678,SKU-1003,USB-C Cable,Electronics,8,2024-03-07 00:00,299,,India
INV100766,SKU-1006,Gel Pen Pack,Stationery,3,2024-01-10 00:00,99,C0038,United States
INV101493,SKU-1003,USB-C Cable,Electronics,4,2024-06-25 00:00,299,C0020,Germany
INV101972,SKU-1009,Desk Lamp,Home,2,2024-11-21 00:00,1499,C0006,USA
INV100239,SKU-1008,Coffee Mug,Home,4,2024-12-06 00:00,249,C0097,United Kingdom
INV102460,SKU-1005,Notebook A5,Stationery,2,2024-05-27 00:00,149,C0115,Germany
INV103729,SKU-1011,Wireless Earbuds,Electronics,8,2024-06-14 00:00,3499,,united kingdom
INV102938,SKU-1014,POWER BANK 10000MAH,Electronics,4,2024-08-23 00:00,1799,C0118,India
INV100552,SKU-1005,Notebook A5,Stationery,4,2024-09-26 00:00,149,C0019,United States
INV101383,SKU-1002,Mechanical Keyboard,Electronics,6,2024-06-14 00:00,2499,C0002,France
INV103129,SKU-1002,Mechanical Keyboard,Electronics,3,2024-08-11 00:00,2499,,France
INV103298,SKU-1001,Wireless Mouse,Electronics,8,2024-02-18 00:00,799,C0057,Germany
INV102412,SKU-1007,Water Bottle 1L,Home,9,2024-12-15 00:00,399,C0013,France
INV103865,SKU-1010,Backpack,Accessories,3,2024-01-13 00:00,1999,C0051,France
INV100832,SKU-1005,,Stationery,5,2024-07-18 00:00,149,C0040,France
INV103183,SKU-1011,Wireless Earbuds,Electronics,9,2024-06-10 00:00,3499,C0116,Germany
INV102800,SKU-1011,Wireless Earbuds,Electronics,2,2024-03-07 00:00,3499,C0058,India
INV102339,SKU-1006,Gel Pen Pack,Stationery,6,2024-02-16 00:00,99,C0096,United Kingdom
INV102026,SKU-1009,Desk Lamp,Home,4,2024-02-24 00:00,1499,C0007,India
INV101746,SKU-1003,USB-C Cable,Electronics,10,2024-09-13 00:00,299,C0046,United States
INV100989,SKU-1007,Water Bottle 1L,Home,11,2024-09-14 00:00,399,C0001,India
INV103439,SKU-1001,Wireless Mouse,Electronics,7,2024-04-21 00:00,799,C0108,France
INV101548,SKU-1006,Gel Pen Pack,Stationery,9,2024-12-15 00:00,99,C0015,France
INV100737,SKU-1014,Power Bank 10000mAh,Electronics,4,2024-12-22 00:00,1799,C0107,France
INV102842,SKU-1013,Sticky Notes,Stationery,6,2024-01-10 00:00,79,C0045,India
INV103638,SKU-1004,Laptop Stand,Accessories,2,2024-07-28 00:00,1299,C0119,United Kingdom
INV103610,SKU-1013,STICKY NOTES,Stationery,3,2024-10-15 00:00,79,,United States
INV100684,SKU-1008,Coffee Mug,Home,7,2024-04-26 00:00,249,C0023,India
INV102412,SKU-1005,Notebook A5,Stationery,11,2024-11-12 00:00,149,C0039,United Kingdom
INV103881,SKU-1013,Sticky Notes,Stationery,9,2024-08-21 00:00,79,C0089,united kingdom
INV100730,SKU-1011,Wireless Earbuds,Electronics,10,2024-07-12 00:00,3499,C0096,United Kingdom
INV103040,SKU-1007,Water Bottle 1L,Home,1,2024-10-09 00:00,399,,France
INV101671,SKU-1001,Wireless Mouse,Electronics,2,2024-11-18 00:00,799,C0029,Germany
INV103122,SKU-1009,Desk Lamp,Home,8,2024-08-07 00:00,1499,C0074,India
INV101060,SKU-1014,Power Bank 10000mAh,Electronics,5,2024-07-24 00:00,1799,C0046,United States
INV101009,SKU-1010,Backpack,Accessories,1,2024-10-07 00:00,1999,C0049,united kingdom
INV103517,SKU-1013,Sticky Notes,Stationery,4,2024-06-21 00:00,79,C0074,India
INV102967,SKU-1003,USB-C CABLE,Electronics,10,2024-05-16 00:00,299,C0041,India
INV100382,SKU-1008,Coffee Mug,Home,5,2024-12-11 00:00,249,C0104,India
INV100876,SKU-1001,Wireless Mouse,Electronics,10,2024-06-16 00:00,799,C0006,United States
INV101554,SKU-1007,WATER BOTTLE 1L,Home,5,2024-03-15 00:00,399,C0077,United Kingdom
INV102890,SKU-1002,Mechanical Keyboard,Electronics,10,2024-06-06 00:00,2499,C0055,Germany
INV102446,SKU-1011,Wireless Earbuds,Electronics,6,2024-08-17 00:00,3499,C0051,France
INV101443,SKU-1004,Laptop Stand,Accessories,8,2024-09-18 00:00,1299,C0010,India
INV100090,SKU-1010,Backpack,Accessories,8,2024-05-25 00:00,1999,C0015,France
INV100951,SKU-1007,Water Bottle 1L,Home,4,2024-03-11 00:00,399,C0056,India
INV102123,SKU-1004,Laptop Stand,Accessories,9,2024-08-09 00:00,1299,C0041,India
INV103604,SKU-1008,Coffee Mug,Home,11,2024-11-09 00:00,249,C0087,India
INV101084,SKU-1004,Laptop Stand,Accessories,7,2024-01-30 00:00,1299,C0063,United Kingdom
INV103635,SKU-1012,Phone Case,Accessories,3,2024-01-06 00:00,499,,France
INV102978,SKU-1013,Sticky Notes,Stationery,1,2024-06-14 00:00,79,C0048,United States
INV102034,SKU-1004,Laptop Stand,Accessories,3,2024-12-21 00:00,1299,C0039,United Kingdom
INV102496,SKU-1006,Gel Pen Pack,Stationery,2,2024-10-30 00:00,N/A,C0048,United States
INV100334,SKU-1004,Laptop Stand,Accessories,6,2024-07-17 00:00,1299,C0102,India
INV101636,SKU-1013,Sticky Notes,Stationery,5,2024-06-03 00:00,79,C0051,USA
INV103410,SKU-1015,Yoga Mat,Home,3,2024-09-18 00:00,899,C0073,Germany
INV103643,SKU-1013,Sticky Notes,Stationery,3,2024-10-14 00:00,79,C0079,USA
INV101983,SKU-1001,WIRELESS MOUSE,Electronics,11,2024-03-21 00:00,799,C0048,United States
INV102828,SKU-1003,USB-C Cable,Electronics,1,2024-11-29 00:00,299,C0044,United Kingdom
INV101621,SKU-1012,Phone Case,Accessories,9,2024-10-09 00:00,499,C0016,France
INV103199,SKU-1010,Backpack,Accessories,9,2024-06-21 00:00,1999,,Germany
INV100696,SKU-1010,Backpack,Accessories,8,2024-12-21 00:00,1999,C0043,France
INV103925,SKU-1013,Sticky Notes,Stationery,8,2024-09-02 00:00,79,C0090,United States
INV102570,SKU-1001,Wireless Mouse,Electronics,3,2024-10-04 00:00,799,C0033,India
INV102104,SKU-1013,Sticky Notes,Stationery,2,2024-12-30 00:00,79,C0084,United States
INV103564,SKU-1012,Phone Case,Accessories,4,2024-09-14 00:00,499,C0093,United States
INV100932,SKU-1010,Backpack,Accessories,6,2024-07-28 00:00,1999,C0099,France
INV102736,SKU-1015,Yoga Mat,Home,-6,2024-03-19 00:00,899,,France
INV101830,SKU-1007,Water Bottle 1L,Home,10,2024-04-23 00:00,399,C0032,United Kingdom
INV103887,SKU-1015,Yoga Mat,Home,4,2024-11-28 00:00,899,C0095,United States
INV102046,SKU-1002,Mechanical Keyboard,Electronics,1,2024-08-01 00:00,2499,C0008,France
INV103091,SKU-1005,Notebook A5,Stationery,2,2024-03-09 00:00,149,C0010,India
INV102903,SKU-1003,USB-C Cable,Electronics,7,2024-10-11 00:00,299,C0063,United Kingdom
INV101491,SKU-1008,,Home,5,2024-07-21 00:00,249,C0052,India
INV100999,SKU-1011,Wireless Earbuds,Electronics,7,2024-07-25 00:00,3499,C0090,United States
INV101460,SKU-1009,Desk Lamp,Home,4,2024-09-12 00:00,1499,C0057,Germany
INV102614,SKU-1011,Wireless Earbuds,Electronics,5,2024-05-11 00:00,3499,C0051,France
INV100599,SKU-1007,Water Bottle 1L,Home,6,2024-03-19 00:00,399,C0093,United States
INV100426,SKU-1002,Mechanical Keyboard,Electronics,1,2024-05-27 00:00,2499,C0101,United States
INV103250,SKU-1004,Laptop Stand,Accessories,6,2024-09-26 00:00,1299,C0100,India
INV100005,SKU-1001,Wireless Mouse,Electronics,7,2024-07-12 00:00,799,C0031,Germany
INV101680,SKU-1004,Laptop Stand,Accessories,10,2024-10-22 00:00,1299,C0113,Germany
INV100356,SKU-1005,Notebook A5,Stationery,8,2024-12-17 00:00,149,C0024,United States
INV101675,SKU-1014,Power Bank 10000mAh,Electronics,5,2024-04-26 00:00,1799,C0046,United States
INV103691,SKU-1011,Wireless Earbuds,Electronics,6,2024-06-19 00:00,3499,C0052,India
INV100576,SKU-1012,,Accessories,8,2024-10-02 00:00,499,C0083,India
INV100080,SKU-1005,Notebook A5,Stationery,10,2024-08-09 00:00,149,C0097,United Kingdom
INV101538,SKU-1004,LAPTOP STAND,Accessories,2,2024-09-12 00:00,1299,C0021,Germany
INV100284,SKU-1007,Water Bottle 1L,Home,10,2024-02-11 00:00,399,C0019,United States
INV102300,SKU-1013,Sticky Notes,Stationery,6,2024-02-29 00:00,79,C0027,Germany
INV101971,SKU-1012,Phone Case,Accessories,5,2024-11-12 00:00,499,C0002,France
INV101842,SKU-1009,DESK LAMP,Home,7,2024-12-14 00:00,1499,C0039,united kingdom
INV100298,SKU-1003,USB-C Cable,Electronics,4,2024-12-01 00:00,299,C0082,united kingdom
INV100517,SKU-1013,Sticky Notes,Stationery,3,2024-04-08 00:00,79,C0013,France
INV100755,SKU-1002,Mechanical Keyboard,Electronics,10,2024-02-22 00:00,2499,C0055,Germany
INV100507,SKU-1009,Desk Lamp,Home,11,2024-08-14 00:00,1499,C0100,India
INV102139,SKU-1010,Backpack,Accessories,5,2024-06-14 00:00,1999,C0076,Germany
INV102174,SKU-1012,Phone Case,Accessories,9,2024-10-11 00:00,499,C0030,Germany
INV100701,SKU-1013,Sticky Notes,Stationery,4,2024-05-09 00:00,79,C0063,United Kingdom
INV101163,SKU-1007,Water Bottle 1L,Home,6,2024-11-02 00:00,399,C0097,United Kingdom
INV101034,SKU-1008,Coffee Mug,Home,3,2024-08-16 00:00,249,C0082,Germany
INV102531,SKU-1012,Phone Case,Accessories,4,2024-01-29 00:00,499,C0021,Germany
INV103812,SKU-1015,Yoga Mat,Home,10,2024-10-11 00:00,899,C0070,Germany
INV103142,SKU-1005,Notebook A5,Stationery,10,2024-01-06 00:00,149,C0098,France
INV103091,SKU-1003,USB-C Cable,Electronics,8,2024-03-29 00:00,299,C0112,France
INV101341,SKU-1008,Coffee Mug,Home,2,2024-10-12 00:00,249,C0024,United States
INV102333,SKU-1013,Sticky Notes,Stationery,6,2024-08-08 00:00,79,C0060,France
INV103744,SKU-1004,Laptop Stand,Accessories,2,2024-03-01 00:00,1299,C0119,United Kingdom
INV102355,SKU-1001,Wireless Mouse,Electronics,10,2024-07-29 00:00,799,C0082,united kingdom
INV101255,SKU-1012,Phone Case,Accessories,3,2024-04-09 00:00,499,C0021,Germany
INV100662,SKU-1008,Coffee Mug,Home,11,2024-08-04 00:00,249,C0011,Germany
INV101006,SKU-1010,Backpack,Accessories,9,2024-09-21 00:00,1999,C0057,Germany
INV100271,SKU-1009,Desk Lamp,Home,10,2024-04-09 00:00,1499,C0078,United Kingdom
INV103062,SKU-1004,Laptop Stand,Accessories,1,2024-02-01 00:00,1299,C0111,United Kingdom
INV103402,SKU-1011,Wireless Earbuds,Electronics,8,2024-10-02 00:00,3499,C0028,United States
INV101500,SKU-1005,Notebook A5,Stationery,8,2024-06-01 00:00,149,C0021,Germany
INV100787,SKU-1007,Water Bottle 1L,Home,10,2024-11-23 00:00,399,C0090,USA
INV103960,SKU-1004,Laptop Stand,Accessories,8,2024-07-09 00:00,1299,C0110,France
INV100023,SKU-1003,USB-C Cable,Electronics,7,2024-12-03 00:00,299,,India
INV102657,SKU-1004,Laptop Stand,Accessories,7,2024-07-22 00:00,1299,C0005,USA
INV103825,SKU-1008,Coffee Mug,Home,9,2024-11-27 00:00,249,C0017,united kingdom
INV103186,SKU-1009,DESK LAMP,Home,3,2024-03-21 00:00,1499,C0057,Germany
INV103986,SKU-1012,Phone Case,Accessories,9,2024-07-12 00:00,499,C0099,France
INV102805,SKU-1002,Mechanical Keyboard,Electronics,6,2024-04-22 00:00,2499,C0073,Germany
INV100078,SKU-1001,Wireless Mouse,Electronics,10,2024-11-18 00:00,799,C0085,France
INV100576,SKU-1012,,Accessories,8,2024-10-02 00:00,499,C0083,India
INV102456,SKU-1014,Power Bank 10000mAh,Electronics,4,2024-11-21 00:00,1799,C0063,United Kingdom
INV103821,SKU-1012,Phone Case,Accessories,8,2024-10-18 00:00,499,C0088,United Kingdom
INV103896,SKU-1003,USB-C Cable,Electronics,6,2024-03-13 00:00,299,C0033,India
INV100516,SKU-1008,Coffee Mug,Home,11,2024-11-14 00:00,249,C0052,India
INV100055,SKU-1014,Power Bank 10000mAh,Electronics,2,2024-10-24 00:00,1799,C0072,India
INV102040,SKU-1005,Notebook A5,Stationery,6,2024-04-16 00:00,149,C0050,France
INV101064,SKU-1002,Mechanical Keyboard,Electronics,5,2024-07-02 00:00,2499,C0039,United Kingdom
INV103273,SKU-1002,Mechanical Keyboard,Electronics,5,2024-08-07 00:00,2499,C0116,Germany
INV101342,SKU-1003,USB-C Cable,Electronics,-2,2024-03-03 00:00,299,C0018,united kingdom
INV102840,SKU-1012,Phone Case,Accessories,3,2024-10-16 00:00,499,C0069,India
INV102443,SKU-1011,Wireless Earbuds,Electronics,6,2024-09-30 00:00,3499,C0001,united kingdom
INV102826,SKU-1008,Coffee Mug,Home,2,2024-07-29 00:00,249,C0031,Germany
INV100102,SKU-1011,Wireless Earbuds,Electronics,8,2024-02-21 00:00,3499,C0011,Germany
INV101508,SKU-1015,Yoga Mat,Home,9,2024-09-20 00:00,899,C0119,United Kingdom
INV102173,SKU-1012,Phone Case,Accessories,-5,2024-12-16 00:00,499,C0011,Germany
INV100480,SKU-1013,Sticky Notes,Stationery,3,2024-05-17 00:00,79,C0037,United States
INV101845,SKU-1006,Gel Pen Pack,Stationery,11,2024-03-04 00:00,99,C0106,France
INV100342,SKU-1002,Mechanical Keyboard,Electronics,9,2024-04-23 00:00,2499,,United States
INV102444,SKU-1008,Coffee Mug,Home,-11,2024-06-07 00:00,249,C0112,France
INV102695,SKU-1007,WATER BOTTLE 1L,Home,10,2024-12-01 00:00,399,C0045,India
INV102668,SKU-1014,Power Bank 10000mAh,Electronics,2,2024-05-18 00:00,1799,C0025,France
INV102307,SKU-1014,Power Bank 10000mAh,Electronics,4,2024-02-12 00:00,1799,C0076,Germany
INV100016,SKU-1003,USB-C Cable,Electronics,3,2024-07-18 00:00,299,C0046,United States
INV101916,SKU-1008,Coffee Mug,Home,2,2024-01-10 00:00,249,,India
